1453519002219732998,"Leggevo la seconda inattuale di #Nietzsche ""Sull'utilità e il danno della storia per la vita"" e mi sono resa conto di quanto questo passaggio si adatti alla questione #DDLZan⤵️
«Dato che non vogliono che sorga la grandezza, il loro mezzo è dire ""Vedete, la grandezza è già qui!""⤵️",none,"[('none', 2), ('favour', 1)]"
1453524213986385920,"Le argomentazioni contro il ddl zan sono:
1. Chi lo ha detto che gli omosessuali sono picchiati perché omosessuali?
2. Ma dio ci ha creati così.
3. Non possiamo proteggere tutti, allora mettiamo anche i ciccioni nella legge Mancino.

Giuro che tutto questo circo mi consola 🎪",favour,"[('favour', 3)]"
1453561015774416901,"Quelli che piagniucolano x il #DDLZan 
Sono gli stessi che esultano x il #grincaz",against,"[('against', 2), ('none', 1)]"
1453567074484240384,"Ammetto
Io oggi ho sentito parlare del #DDLZan solo su twitter ...
Nessuno oggi fuori da qui ne sta parlando...
Pessima la figura in Senato, ma siamo sicuri che ai cittadini italiani lo sentano come tema prioritario?
Perché se ne parlerebbe...
mantre tutto tace",none,"[('none', 3)]"
1453569201789153281,"Responsabilità totale dei sostenitori del #DDLZan in aula: passaggio per il rotto della cuffia alla Camera e -forse- un 10% di oppositori segreti al Senato. Serviva una mediazione, che è stata strumentalmente rifiutata per addossare la responsabilità agli altri. Calcolo?",N/D,"[('against', 1), ('favour', 1), ('none', 1)]"
1453572338839134209,"Vivo in un Paese dove c’è gente felice di tutto ciò. 

#LeggeZan #DDLZan",favour,"[('favour', 3)]"
1453578261708091392,"Voto segreto ? No, è abbastanza palese.

4 novembre 2020, Governo Conte (M5S, PD, LEU, IV) con 265 favorevoli e 193 contrari la Camera approva la #LeggeZan 

27 ottobre 2021, Governo Draghi [M5S, PD, LEU (LEGA, FI, IV)] il Senato boccia la Legge Zan.",none,"[('none', 2), ('favour', 1)]"
1453579347269496836,"Vedo solo ora le tristissime sceneggiate di quelli che dovrebbero essere i nostri rappresentanti per il voto sul #DDLZan .
Che personaggi piccoli, che giorno triste.",favour,"[('favour', 2), ('none', 1)]"
1453580397397282821,Sembrerebbe che l onorevole Zan stia preparando una legge per la tutela di coloro che vanno in monopattino .,against,"[('against', 3)]"
1453581412523773953,"Ieri hanno applaudito la discriminazione di Stato contro gay, trans, donne e disabili. Non so se capite la gravità della situazione. #DDLZan",favour,"[('favour', 3)]"
1453582824032948225,"Il #centrodestra compatto da @forza_italia alla @LegaSalvini, da @ItaliaViva a @FratellidItalia, abbatte la civiltà e il progresso #Zan",favour,"[('favour', 2), ('none', 1)]"
1453584536479150080,Ddl zan bloccato - Italia no zombi in giro ! Noi Angeli abbiamo avvisato DIO il quale ci ha solo riferito che la donna e l'uomo omosessuale non trattasi di sbilanciamento ormonale ma nei loro corpi e menti è entrato un demone. Saluti onesti. L'Angelo Serafino di Dio Yahweh,against,"[('against', 2), ('none', 1)]"
1453585117218320385,Vergogna. Non aggiungo altro. #DDLZan #ddlzanèmorto,favour,"[('favour', 3)]"
1453586200577593346,"Perché i vigliacchi, gli ipocriti sono al governo del mio paese? #DDLZan",favour,"[('favour', 2), ('none', 1)]"
1453587836075225092,"Appena letto cos’è la teoria gender e voglio strapparmi i capelli perché quelli hanno affossato il DDL Zan per cagate che si sono immaginati da soli, la teoria gender è una cosa inventata dalle destre.
Quindi o sono stupidi o sono discriminatori, in ogni caso sono imbarazzanti",favour,"[('favour', 3)]"
